timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.000,-10.604850,-3.790540,0.634400,71.806877,-6.803125,-18.860626
0.020,-13.974490,-4.112620,-0.719800,-8.741250,-18.344376,-18.151876
0.040,-12.189631,-6.903980,0.270840,-13.081250,-6.216875,-13.737500
0.060,-10.377321,-3.713680,-1.140700,-35.805000,1.601250,-4.313750
0.080,-9.772201,-4.192530,-1.312720,-63.665005,-9.078125,3.854375
0.100,-9.958250,-4.166910,-1.069330,-106.666878,-9.817500,17.850000
0.120,-10.135151,-3.934500,-0.864370,-108.145630,-3.281250,21.595001
0.140,-9.217710,-2.899330,-0.442250,-101.994377,0.936250,23.183126
0.160,-7.653670,-1.159610,-0.130540,-99.439377,7.249375,19.149376
0.180,-7.470670,-0.133590,0.357460,-90.623756,5.893125,15.793751
0.200,-7.036350,0.844850,0.991860,-48.111877,8.045626,7.301875
0.220,-6.628870,1.351150,1.155950,-18.659376,8.736876,3.211250
0.240,-5.963360,1.354200,1.143750,46.405628,6.531875,-3.193750
0.260,-5.873690,1.059570,1.060790,75.407501,4.830000,-5.044375
0.280,-6.301910,0.247660,0.976610,122.053757,-3.250625,-6.234375
0.300,-7.991611,-1.708000,0.932080,141.102509,-8.391251,-7.980000
0.320,-8.676641,-2.505880,0.611220,143.342514,-9.603126,-10.622500
0.340,-10.372440,-3.896680,0.155550,143.342514,-6.050625,-17.618126
0.360,-19.986040,-4.104080,-4.051620,-30.835001,-43.640629,-24.661877
0.380,-19.986040,-12.861852,0.369660,15.106875,13.295626,-19.385626
0.400,-10.037551,-4.462150,-0.685030,37.117500,30.839376,-15.281876
0.420,-6.708171,-2.458300,-2.077050,-56.122501,0.778750,8.951250
0.440,-8.405190,-3.192740,-1.490840,-103.989380,-17.675001,16.931252
0.460,-10.549340,-4.157150,-0.861320,-118.628128,-3.626875,21.105001
0.480,-9.547111,-3.289730,-0.333060,-84.350006,12.298125,19.670000
0.500,-7.857411,-1.611010,-0.320860,-71.080627,20.601875,17.171875
0.520,-6.933870,0.140300,0.228140,-56.345627,14.166250,15.120001
0.540,-7.310851,0.093940,0.717970,-38.421253,6.965000,13.553751
0.560,-6.833830,0.400160,1.291370,18.077501,1.684375,10.311875
0.580,-6.534930,0.560590,1.388360,43.334377,1.277500,6.466250
0.600,-6.535540,0.422120,1.331630,83.199379,-1.548750,-1.522500
0.620,-7.793971,-1.043100,1.149240,100.988129,-5.853750,-5.495000
0.640,-8.692501,-1.863550,1.030900,115.731880,-10.797501,-9.926875
0.660,-10.961090,-3.934500,0.441640,118.256256,-18.729376,-16.804377
0.680,-19.986040,-6.272020,-1.256600,40.525627,-37.506878,-17.723125
0.700,-13.080840,-11.166050,-0.628300,9.073750,-3.036250,-13.203751
0.720,-9.867361,-4.036370,-0.913170,1.841875,13.107501,-10.565625
0.740,-7.965990,-3.414780,-1.830000,-80.583130,-12.923751,10.605000
0.760,-9.113400,-3.409900,-1.324920,-108.386253,-21.376251,17.408125
0.780,-9.996070,-3.819210,-0.929640,-91.765633,-3.224375,21.175001
0.800,-8.327110,-2.285670,-0.453230,-70.350006,8.176875,19.320002
0.820,-6.992430,-0.961360,-0.322690,-54.057503,15.509376,17.653126
0.840,-6.955221,-0.004270,0.517890,-21.700001,12.302501,12.980625
0.860,-7.132121,-0.028060,0.854000,7.485625,9.476251,11.353126
0.880,-6.881411,0.214110,1.000400,65.205002,7.420001,5.766250
0.900,-7.150421,0.021960,0.966850,81.869377,5.827500,3.080000
0.920,-7.895841,-0.713700,0.956480,103.306877,-5.845000,-4.375000
0.940,-9.827101,-2.657160,0.799100,106.246880,-10.425626,-8.242500
0.960,-10.848851,-3.663660,0.595360,99.981880,-11.501876,-11.147501
0.980,-19.986040,-3.690500,2.793190,-21.840000,-10.368751,-17.443127
1.000,-12.383610,-10.365120,-0.434930,12.263125,-2.139375,-9.870001
1.020,-8.399700,-2.913360,-1.243180,-32.856251,2.218125,-0.354375
1.040,-8.249640,-3.387940,-1.434720,-74.169380,-10.189376,5.092500
1.060,-9.919821,-4.072360,-0.829600,-86.323128,-2.388750,11.816875
1.080,-9.035931,-3.295830,-0.719800,-70.280006,8.137501,11.283126
1.100,-7.914751,-2.137440,-0.742370,-45.823753,16.235626,9.572500
1.120,-7.201660,-0.770430,-0.314760,-34.798752,16.012501,9.047501
1.140,-7.584741,-0.597190,0.040870,-17.132502,14.546876,8.496250
1.160,-7.667701,-0.406260,0.578890,24.539375,6.072500,6.693750
1.180,-7.883640,-0.430660,0.825940,39.029377,3.364375,4.913125
1.200,-8.763260,-1.282220,1.119350,58.651253,-1.277500,-1.308125
1.220,-9.221371,-1.873920,1.171200,64.058754,-3.885000,-5.228125
1.240,-9.470860,-2.371070,0.843020,60.838753,-2.476250,-14.336876
1.260,-9.518440,-3.005470,0.615490,54.595627,0.078750,-18.471251
1.280,-9.602011,-3.277530,0.359290,48.216877,2.944375,-24.316252
1.300,-17.456982,-2.637640,-0.379420,-24.797501,-5.311250,-25.913126
1.320,-10.992201,-6.730130,-0.158600,-3.937500,3.456250,-21.468126
1.340,-8.708361,-3.280580,-1.312110,7.437500,9.034375,-8.071876
1.360,-8.436300,-3.156750,-1.627480,-17.224377,-2.174375,3.618125
1.380,-9.883221,-3.943040,-1.191330,-55.234379,-10.027500,20.606251
1.400,-9.901521,-3.740520,-0.797270,-55.265003,-5.661250,23.069376
1.420,-9.162810,-2.896890,-0.490440,-43.723751,2.695000,21.135626
1.440,-7.622561,-1.349930,0.217770,-37.191875,3.018750,17.780001
1.460,-7.656720,-1.089460,0.682590,-24.675001,3.053750,14.376250
1.480,-7.812881,-0.951600,1.176690,16.502501,5.893125,6.422500
1.500,-7.822640,-0.937570,1.183400,35.870628,6.527500,1.933750
1.520,-8.453990,-1.480470,1.044320,55.698128,2.900625,-6.199375
1.540,-9.123771,-2.097180,0.905850,59.058128,-1.299375,-9.546250
1.560,-9.712420,-3.276920,0.387350,53.108128,-3.640000,-13.965001
1.580,-18.093822,-3.107950,-0.843020,-4.195625,-14.993126,-15.036876
1.600,-9.190260,-5.241731,0.902190,1.430625,6.733125,-12.836250
1.620,-8.909051,-2.671800,-0.723460,7.035000,12.556251,-8.881250
1.640,-7.643300,-2.743170,-1.098000,-5.118750,6.965000,-3.915625
1.660,-9.110960,-3.437350,-0.804590,-18.694376,2.603125,3.399375
1.680,-9.263460,-3.573380,-0.597800,-9.537500,7.494375,5.726875
1.700,-8.704090,-2.694980,-0.348920,1.662500,7.091876,8.461250
1.720,-9.000550,-2.707181,-0.137860,-1.850625,3.591875,9.590000
1.740,-9.509900,-2.934100,0.064050,-11.055626,0.669375,10.342501
1.760,-9.930800,-3.022550,0.300730,-15.968751,-0.529375,10.955001
1.780,-9.797820,-2.811490,0.434930,-21.450626,-2.598750,11.501876
1.800,-9.153050,-2.187460,0.585600,-31.036251,-8.334375,10.583125
1.820,-8.779731,-1.961150,0.655750,-32.173752,-8.977500,9.165626
1.840,-8.292951,-1.784250,0.612440,-15.898750,-3.535000,3.425625
1.860,-8.005640,-1.703730,0.497150,-0.336875,-0.936250,-0.787500
1.880,-7.832400,-1.776320,0.104310,27.273752,5.013750,-8.207500
1.900,-8.324060,-2.085590,0.004880,36.426250,5.967500,-11.248125
1.920,-8.988960,-2.610190,-0.091500,45.591877,7.428751,-13.313126
1.940,-10.271790,-3.458090,-0.318420,41.654377,5.245625,-11.296250
1.960,-10.567641,-3.881430,-1.149240,11.786250,-6.628125,-7.113750
1.980,-11.671741,-5.412530,-0.337940,-12.477501,-5.140625,3.675000
2.000,-9.711811,-3.220191,-0.428220,-22.728127,-4.838750,8.719376
2.020,-8.774851,-3.036580,-0.474580,-53.628754,-13.383125,13.566875
2.040,-9.053620,-2.842600,-0.203130,-56.341251,-8.841875,12.201876
2.060,-8.898070,-2.616290,0.092110,-33.477501,6.540625,5.149375
2.080,-7.817150,-1.474980,0.212280,-20.925627,10.101875,2.008125
2.100,-7.707961,-1.169980,0.338550,-9.935625,10.714375,0.568750
2.120,-8.376521,-1.247450,0.608780,14.170626,6.251875,0.971250
2.140,-8.422271,-1.333460,0.583770,25.935001,2.450000,1.216250
2.160,-8.824871,-1.787300,0.443470,38.408127,-7.008750,-0.490000
2.180,-9.152440,-2.228940,0.337940,40.184376,-9.891875,-3.062500
2.200,-10.008270,-3.311080,0.015250,37.598751,-8.128751,-9.432501
2.220,-10.280331,-3.733810,-0.150060,31.710001,-5.796875,-11.690001
2.240,-10.392570,-4.001600,-0.344040,6.514375,-3.482500,-11.261250
2.260,-10.138201,-3.907051,-0.767990,-10.670626,-1.723750,-8.124375
2.280,-9.889320,-3.746620,-0.839970,-25.449377,-1.570625,-3.666250
2.300,-9.360451,-3.332430,-0.813130,-39.147503,-2.856875,5.468750
2.320,-9.028000,-2.962160,-0.686250,-39.396877,-1.067500,8.443750
