timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.000,-10.072321,-1.145580,-0.667340,17.053751,-32.847500,-24.731876
0.020,-9.983871,-1.234030,-0.733830,9.051875,-28.638752,-20.676250
0.040,-9.819780,-1.338950,-0.606340,-4.690000,-20.072500,-19.556252
0.060,-9.776470,-1.392020,-0.547780,-7.813750,-15.570625,-20.623751
0.080,-9.782571,-1.460950,-0.613660,-7.266875,-9.082500,-22.085001
0.100,-9.374480,-1.102880,-0.736880,-6.400625,-7.717500,-21.389376
0.120,-9.290300,-0.953430,-0.808250,-7.809375,-8.540000,-19.639376
0.140,-9.472691,-0.952210,-1.032120,-7.896875,-12.223750,-13.457500
0.160,-9.511120,-0.916220,-1.045540,-6.960625,-12.460001,-10.036250
0.180,-9.287251,-0.845460,-1.043710,-7.472500,-13.426876,-4.309375
0.200,-9.390341,-0.847290,-0.983930,-7.805000,-14.166250,-2.786875
0.220,-9.566020,-0.877790,-0.916830,-5.525625,-10.858750,-1.295000
0.240,-9.527591,-0.793610,-0.904630,-4.908750,-7.822500,-1.500625
0.260,-9.536131,-0.711260,-0.887550,-5.328750,-4.497500,-1.837500
0.280,-9.523931,-0.650870,-0.871690,-6.011250,-0.691250,-1.417500
0.300,-9.450121,-0.633180,-0.878400,-6.090000,0.520625,-0.516250
0.320,-9.447071,-0.694790,-0.812520,-5.131875,-0.087500,1.238125
0.340,-9.498311,-0.764330,-0.824110,-3.609375,-1.522500,2.327500
0.360,-9.554430,-0.722240,-0.950990,-1.907500,-0.564375,4.935000
0.380,-9.548330,-0.713700,-1.028460,-2.559375,1.373750,6.772501
0.400,-9.548330,-0.727730,-1.132160,-5.105625,5.621875,12.398750
0.420,-9.713641,-0.769820,-1.310890,-6.055000,8.798125,15.964375
0.440,-9.706930,-0.743590,-1.446310,-6.741875,12.805626,20.405001
0.460,-9.464150,-0.747250,-1.437770,-8.666876,18.628752,30.555002
0.480,-9.246990,-0.791780,-1.277340,-9.913751,17.189375,34.584377
0.500,-9.348861,-1.047980,-0.685640,-8.890000,8.238126,35.013126
0.520,-9.499530,-1.033340,-0.431270,-5.976250,3.841250,31.640001
0.540,-9.645930,-0.760060,-0.273280,-2.419375,4.593750,21.481251
0.560,-9.638000,-0.581940,-0.296460,-4.143125,9.056251,16.511251
0.580,-9.681920,-0.447130,-0.375150,-9.170000,16.966251,13.138125
0.600,-9.536131,-0.328180,-0.538020,-10.854376,18.270000,15.181251
0.620,-9.386070,-0.334890,-0.574620,-11.768750,17.552502,18.493126
0.640,-9.404371,-0.462990,-0.697230,-11.011875,13.803125,26.648127
0.660,-9.386070,-0.509350,-0.775920,-10.106251,13.505626,30.821877
0.680,-9.395830,-0.688080,-0.774700,-8.085000,12.088125,37.633751
0.700,-9.455610,-0.752740,-0.722240,-7.240625,9.415001,39.904377
0.720,-9.439751,-0.769210,-0.515450,-7.774375,0.441875,41.615002
0.740,-9.697781,-0.740540,-0.485560,-9.043125,-1.470000,40.241253
0.760,-9.778911,-0.661240,-0.505690,-10.889376,1.028125,38.027500
0.780,-9.713641,-0.367220,-0.643550,-14.875001,11.672501,35.686878
0.800,-9.674601,-0.289140,-0.762500,-16.660000,15.898750,37.130627
0.820,-9.431821,-0.052460,-0.973560,-20.046251,20.746250,45.815002
0.840,-9.316531,-0.077470,-1.044320,-21.175001,19.998125,53.046879
0.860,-9.005431,-0.192760,-0.798490,-20.300001,8.513750,66.998756
0.880,-9.188431,-0.321470,-0.622810,-16.712502,-1.999375,71.951256
0.900,-9.218321,-0.323910,-0.511790,-9.021251,-17.215626,76.768127
0.920,-9.310431,-0.203130,-0.183000,-7.061250,-21.008751,75.901878
0.940,-9.492210,-0.202520,-0.077470,-5.875625,-20.693750,72.358131
0.960,-9.831981,-0.113460,-0.167750,-5.831875,-8.251250,61.744377
0.980,-9.700830,0.050020,-0.268400,-7.503125,-0.494375,58.471878
1.000,-9.481841,0.140300,-0.548390,-13.015626,11.501876,58.025627
1.020,-9.408641,0.104920,-0.595360,-14.100626,13.466250,59.780003
1.040,-9.514171,-0.179340,-0.500200,-8.268750,10.758125,63.109379
1.060,-9.553210,-0.242170,-0.553880,-3.526250,8.553125,63.975628
1.080,-9.473910,-0.275110,-0.422730,-1.942500,2.323125,58.821877
1.100,-9.540401,-0.106140,-0.272670,-5.683125,3.443125,54.363754
1.120,-9.636781,-0.089060,-0.256200,-9.336250,6.663126,49.809376
1.140,-9.752681,-0.002440,-0.310490,-13.890626,15.675626,44.130627
1.160,-9.665450,0.078690,-0.430050,-14.888125,18.878126,44.467503
1.180,-9.417180,0.272670,-0.577670,-16.366877,19.131876,52.955002
1.200,-9.327511,0.312320,-0.562420,-16.887501,16.716875,58.248753
1.220,-9.278710,0.200690,-0.312320,-15.251250,11.738126,63.048126
1.240,-9.386070,0.118340,-0.185440,-12.538751,11.528126,61.941254
1.260,-9.392780,0.166530,-0.140300,-8.942500,11.313750,55.680626
1.280,-9.231131,0.452010,-0.141520,-7.721875,15.128751,53.287502
1.300,-9.333611,0.383690,-0.159820,-8.421875,17.565626,52.036251
1.320,-9.378750,0.398940,-0.075640,-7.249375,19.582500,51.948753
1.340,-9.403761,0.379420,-0.014640,-5.223750,18.786251,52.084377
1.360,-9.328730,0.433710,0.126270,-2.296875,15.863750,51.681877
1.380,-9.371430,0.386130,0.193980,-1.715000,15.439376,51.345001
1.400,-9.514171,0.284870,0.248880,0.196875,13.921250,48.886253
1.420,-9.548940,0.267180,0.340380,-0.218750,14.284376,46.475628
1.440,-9.514171,0.283040,0.359290,-1.408750,14.866251,43.658127
1.460,-9.428770,0.389790,0.356850,-4.134375,16.830626,39.326878
1.480,-9.402541,0.423340,0.384300,-4.462500,17.298750,37.664375
1.500,-9.262240,0.514230,0.315980,-1.745625,14.848751,37.550629
1.520,-9.297621,0.460550,0.236070,0.765625,12.166876,40.792503
1.540,-9.335441,0.344040,0.153110,6.580000,1.610000,54.490627
1.560,-9.514171,0.213500,0.258640,8.785001,-5.722500,60.239376
1.580,-9.703271,0.053680,0.431880,8.190001,-13.575625,58.782501
1.600,-9.934461,0.021350,0.749080,3.775625,-11.169375,52.045002
1.620,-10.034500,0.034770,0.882060,-2.148125,-3.648750,43.054379
1.640,-9.630071,0.340380,0.947940,-12.486251,11.808125,26.722502
1.660,-9.271391,0.514230,0.943670,-15.732501,14.227501,21.542501
1.680,-9.137801,0.597800,0.866200,-12.446876,10.762501,16.773750
1.700,-9.087171,0.674050,0.814960,-6.925625,7.551250,17.185001
1.720,-9.067651,0.649650,0.687470,5.753125,-0.546875,18.344376
1.740,-9.218321,0.537410,0.592310,10.346875,-4.112500,17.530626
1.760,-9.368990,0.450180,0.525820,12.595626,-5.635000,14.087501
1.780,-9.664231,0.240950,0.333670,11.668125,-2.218125,12.031251
1.800,-9.656301,0.224480,0.315370,9.852501,0.008750,9.572500
1.820,-9.527591,0.322690,0.369660,4.624375,3.364375,4.296250
1.840,-9.472080,0.339160,0.391010,3.233125,5.070625,1.990625
1.860,-9.371430,0.385520,0.470310,4.445000,6.680625,-0.192500
1.880,-9.295791,0.362340,0.437370,6.737500,4.060000,0.997500
1.900,-9.323240,0.351360,0.423340,11.484376,-5.858125,6.461875
1.920,-9.367770,0.315980,0.451400,12.350626,-10.080001,8.911876
1.940,-9.583100,0.223870,0.498370,11.991876,-12.617500,10.119375
1.960,-9.819170,-0.006100,0.633790,9.708125,-9.126250,6.650000
1.980,-9.763661,-0.004270,0.689300,6.912500,-4.786250,2.047500
2.000,-9.674601,0.080520,0.732000,1.343125,1.378125,-8.496250
2.020,-9.592860,0.122610,0.739320,0.091875,2.410625,-12.503751
