timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.000,-9.479401,0.041480,0.725900,-0.161875,0.791875,-0.052500
0.020,-9.481231,0.033550,0.723460,-0.113750,0.883750,-0.087500
0.040,-9.501970,0.048190,0.728950,-0.061250,0.813750,-0.096250
0.060,-9.495871,0.035380,0.728950,-0.122500,0.840000,-0.035000
0.080,-9.506850,0.040260,0.714920,-0.126875,0.818125,-0.052500
0.100,-9.507461,0.032940,0.728340,-0.109375,0.826875,-0.065625
0.120,-9.480011,0.033550,0.724680,-0.056875,0.883750,-0.078750
0.140,-9.506850,0.046970,0.724070,-0.118125,0.818125,-0.083125
0.160,-9.501360,0.047580,0.714310,-0.148750,0.835625,-0.074375
0.180,-9.490991,0.047580,0.715530,-0.035000,0.783125,-0.074375
0.200,-9.519661,0.046360,0.720410,-0.170625,0.866250,-0.078750
0.220,-9.506241,0.044530,0.729560,-0.074375,0.879375,-0.039375
0.240,-9.519051,0.054900,0.723460,-0.122500,0.818125,-0.021875
0.260,-9.489771,0.035990,0.725900,-0.126875,0.791875,-0.048125
0.280,-9.490991,0.050630,0.728950,-0.078750,0.831250,-0.048125
0.300,-9.510510,0.045140,0.724070,-0.074375,0.879375,-0.074375
0.320,-9.490381,0.048800,0.724070,-0.083125,0.879375,-0.052500
0.340,-9.501970,0.039650,0.723460,-0.122500,0.800625,-0.100625
0.360,-9.501970,0.050630,0.723460,-0.113750,0.796250,-0.083125
0.380,-9.498921,0.043310,0.710040,-0.196875,0.848750,-0.065625
0.400,-9.506850,0.041480,0.715530,-0.070000,0.857500,-0.074375
0.420,-9.511120,0.041480,0.728340,-0.087500,0.831250,-0.065625
0.440,-9.494651,0.050630,0.722850,-0.070000,0.796250,-0.061250
0.460,-9.505630,0.039650,0.724680,-0.100625,0.809375,-0.035000
0.480,-9.511120,0.037820,0.726510,-0.100625,0.818125,-0.035000
0.500,-9.500751,0.035380,0.724680,-0.118125,0.857500,-0.043750
0.520,-9.501360,0.036600,0.722850,-0.078750,0.848750,-0.056875
0.540,-9.505630,0.042090,0.730170,-0.140000,0.866250,-0.056875
0.560,-9.505630,0.032940,0.725290,-0.083125,0.822500,-0.052500
0.580,-9.496481,0.034160,0.719800,-0.109375,0.861875,-0.043750
0.600,-9.497701,0.037210,0.730780,-0.135625,0.853125,-0.039375
0.620,-9.498311,0.038430,0.728340,-0.113750,0.866250,-0.065625
0.640,-9.500140,0.035990,0.721020,-0.087500,0.888125,-0.122500
0.660,-9.499530,0.046970,0.717970,-0.105000,0.844375,-0.087500
0.680,-9.496481,0.054900,0.716750,-0.100625,0.840000,-0.074375
0.700,-9.509900,0.048190,0.717360,-0.083125,0.805000,-0.065625
0.720,-9.488550,0.035990,0.717360,-0.118125,0.809375,-0.021875
0.740,-9.505020,0.031110,0.715530,-0.126875,0.870625,-0.056875
0.760,-9.499530,0.035380,0.717970,-0.109375,0.787500,-0.043750
0.780,-9.506850,0.035990,0.724070,-0.074375,0.866250,-0.043750
0.800,-9.500751,0.046970,0.721630,-0.179375,0.857500,-0.017500
0.820,-9.497090,0.041480,0.731390,-0.078750,0.848750,-0.091875
0.840,-9.495260,0.050020,0.730780,-0.065625,0.831250,-0.061250
0.860,-9.496481,0.050630,0.728950,-0.140000,0.826875,-0.091875
